Transaction_ID,Date,Region,Customer_Segment,Customer_Count,Advertising_Budget,Discount_Rate,Previous_Sales,Operating_Cost,Sales,Risk_Level
TXN1001,2024-01-05,North,Corporate,180,4500,8,62000,21000,74500,Low Risk
TXN1002,2024-01-07,South,Retail,240,5200,12,71000,25000,83200,Low Risk
TXN1003,2024-01-10,East,Wholesale,95,3100,5,45000,18000,52000,High Risk
TXN1004,2024-01-12,West,Retail,310,6800,15,88000,29000,99400,Low Risk
TXN1005,2024-01-15,North,Corporate,160,,10,59000,20000,68000,Low Risk
TXN1006,2024-01-18,South,Retail,280,6100,14,79000,27000,91500,Low Risk
TXN1007,2024-01-21,East,Wholesale,80,2500,4,39000,16000,44000,High Risk
TXN1008,2024-01-24,West,Corporate,220,5500,9,73000,24000,84000,Low Risk
TXN1009,2024-01-27,North,Retail,260,5900,11,76000,26000,88200,Low Risk
TXN1010,2024-01-30,South,Wholesale,110,3600,6,49000,19000,56800,Medium Risk
TXN1011,2024-02-02,East,Retail,190,4800,10,64000,22000,73500,Low Risk
TXN1012,2024-02-05,West,Wholesale,105,3400,5,47000,18500,54200,Medium Risk
TXN1013,2024-02-08,North,,210,5100,8,68000,23000,79000,Low Risk
TXN1014,2024-02-11,South,Corporate,250,6000,12,78000,26500,89600,Low Risk
TXN1015,2024-02-14,East,Retail,170,4200,9,58000,20500,67000,Medium Risk
TXN1016,2024-02-17,West,Retail,290,6400,13,84000,28000,95800,Low Risk
TXN1017,2024-02-20,North,Wholesale,90,2900,4,42000,17000,48500,High Risk
TXN1018,2024-02-23,South,Retail,270,5800,11,75000,25500,86400,Low Risk
TXN1019,2024-02-26,East,Corporate,150,4100,8,56000,19500,64200,Medium Risk
TXN1020,2024-03-01,West,Wholesale,115,3800,6,51000,19800,59000,Medium Risk
TXN1021,2024-03-04,North,Retail,230,5400,10,72000,24500,82100,Low Risk
TXN1022,2024-03-07,South,Wholesale,85,2600,3,38000,15500,43200,High Risk
TXN1023,2024-03-10,East,Retail,185,4600,9,61000,21500,70500,Low Risk
TXN1024,2024-03-13,West,Corporate,240,5800,11,76000,25800,87300,Low Risk
TXN1025,2024-03-16,North,Corporate,195,4900,9,65000,22500,75600,Low Risk
TXN1026,2024-03-19,South,Retail,320,7200,16,92000,31000,104500,Low Risk
TXN1027,2024-03-22,East,Wholesale,75,2200,3,35000,14500,39800,High Risk
TXN1028,2024-03-25,West,Retail,265,5900,12,77000,26200,88000,Low Risk
TXN1029,2024-03-28,North,Retail,205,,8,67000,23200,77400,Low Risk
TXN1030,2024-03-31,South,Corporate,235,5700,10,74000,25000,85100,Low Risk
TXN1031,2024-04-03,East,Corporate,140,3900,7,53000,19000,61200,High Risk
TXN1032,2024-04-06,West,Wholesale,120,4000,6,54000,20200,62500,Medium Risk
TXN1033,2024-04-09,North,Wholesale,100,3200,5,46000,18200,53000,High Risk
TXN1034,2024-04-12,South,Retail,305,6900,15,89000,30000,101200,Low Risk
TXN1035,2024-04-15,East,Retail,160,4300,8,57000,20000,66000,Medium Risk
TXN1036,2024-04-18,West,Corporate,215,5300,9,71000,24200,81500,Low Risk
TXN1037,2024-04-21,North,Retail,245,5600,11,75000,25600,86500,Low Risk
TXN1038,2024-04-24,South,Wholesale,90,2800,4,41000,16500,47000,High Risk
TXN1039,2024-04-27,East,Corporate,175,4700,9,63000,21800,72400,Low Risk
TXN1040,2024-04-30,West,Retail,285,6300,13,83000,27800,94600,Low Risk
TXN1002,2024-01-07,South,Retail,240,5200,12,71000,25000,83200,Low Risk
TXN1041,2024-05-03,North,Corporate,185,4600,8,64000,21900,73900,Low Risk
TXN1042,2024-05-06,South,Retail,315,7100,16,91000,30500,103000,Low Risk
TXN1043,2024-05-09,East,Wholesale,85,2700,4,39500,16200,45100,High Risk
TXN1044,2024-05-12,West,Retail,275,6100,12,80000,27100,91000,Low Risk
TXN1045,2024-05-15,North,Wholesale,110,3500,6,49500,19200,57200,Medium Risk
TXN1046,2024-05-18,South,Corporate,260,6200,11,79500,26800,90800,Low Risk
TXN1047,2024-05-21,East,Retail,195,4900,10,66000,22600,75800,Low Risk
TXN1048,2024-05-24,West,Corporate,230,5600,10,75000,25200,85900,Low Risk
TXN1049,2024-05-27,North,Retail,220,5300,9,70000,24000,80200,Low Risk
TXN1050,2024-05-30,South,Wholesale,125,4100,7,55000,20600,63800,Medium Risk
TXN1051,2024-06-02,East,Wholesale,70,2100,3,34000,14000,38500,High Risk
TXN1052,2024-06-05,West,Retail,330,7500,17,95000,32000,108000,Low Risk
TXN1053,2024-06-08,North,Corporate,170,4400,8,60000,20800,69400,Low Risk
TXN1054,2024-06-11,South,Retail,295,6600,14,86000,28800,97800,Low Risk
TXN1055,2024-06-14,East,Corporate,165,4500,8,61500,21200,71000,Low Risk
TXN1056,2024-06-17,West,Wholesale,130,4300,7,57000,21000,66100,Medium Risk
TXN1057,2024-06-20,North,Retail,250,5700,11,77000,26100,87900,Low Risk
TXN1058,2024-06-23,South,Wholesale,95,3000,5,43000,17500,49800,High Risk
TXN1059,2024-06-26,East,Retail,180,4700,9,63500,22100,72900,Low Risk
TXN1060,2024-06-29,West,Corporate,245,5900,11,78000,26400,89200,Low Risk
TXN1002,2024-01-07,South,Retail,240,5200,12,71000,25000,83200,Low Risk
TXN1061,2024-07-02,North,Wholesale,105,3300,5,48000,18800,55100,Medium Risk
TXN1062,2024-07-05,South,Corporate,275,6500,13,82000,27500,93500,Low Risk
TXN1063,2024-07-08,East,Wholesale,65,1900,2,31000,13200,35200,High Risk
TXN1064,2024-07-11,West,Retail,300,6800,15,88500,29600,100500,Low Risk
TXN1065,2024-07-14,North,Retail,215,5200,9,69000,23800,79100,Low Risk
TXN1066,2024-07-17,South,Retail,340,7900,18,99000,33500,113000,Low Risk
TXN1067,2024-07-20,East,Corporate,155,4200,8,58500,20400,67400,Medium Risk
TXN1068,2024-07-23,West,Wholesale,140,4600,7,60000,22000,69800,Medium Risk
